2026-04-10 16:24:46 | GET | meus-planos-api/categorias
2026-04-10 16:24:47 | GET | meus-planos-api/itens
2026-04-10 16:24:47 | GET | meus-planos-api/categorias
2026-04-10 16:25:00 | OPTIONS | meus-planos-api/itens
2026-04-10 16:25:00 | POST | meus-planos-api/itens
2026-04-10 16:25:00 | GET | meus-planos-api/itens
2026-04-10 16:25:06 | OPTIONS | meus-planos-api/itens/6
2026-04-10 16:25:06 | POST | meus-planos-api/itens/6
2026-04-10 16:25:49 | GET | meus-planos-api/categorias
2026-04-10 16:25:49 | GET | meus-planos-api/itens
2026-04-10 16:25:54 | OPTIONS | meus-planos-api/itens/6
2026-04-10 16:25:54 | POST | meus-planos-api/itens/6
2026-04-10 16:29:57 | OPTIONS | meus-planos-api/itens/5
2026-04-10 16:29:57 | POST | meus-planos-api/itens/5
2026-04-10 16:33:22 | GET | meus-planos-api/categorias
2026-04-10 16:33:27 | OPTIONS | meus-planos-api/itens/6
2026-04-10 16:33:27 | PUT | meus-planos-api/itens/6
2026-04-10 16:34:47 | GET | meus-planos-api/itens
2026-04-10 16:34:47 | GET | meus-planos-api/categorias
2026-04-10 16:34:51 | OPTIONS | meus-planos-api/itens/6
2026-04-10 16:34:51 | PUT | meus-planos-api/itens/6
2026-04-10 16:35:58 | GET | meus-planos-api/itens
2026-04-10 16:35:58 | GET | meus-planos-api/categorias
2026-04-10 16:36:23 | GET | meus-planos-api/itens
rias
2026-04-10 16:36:27 | GET | meus-planos-api/categorias
2026-04-10 16:36:27 | GET | meus-planos-api/itens
2026-04-10 16:36:44 | GET | meus-planos-api/categorias
2026-04-10 16:36:44 | GET | meus-planos-api/itens
2026-04-10 16:37:39 | GET | meus-planos-api/itens
rias
2026-04-10 16:37:43 | OPTIONS | meus-planos-api/itens/6
2026-04-10 16:37:43 | PUT | meus-planos-api/itens/6
2026-04-10 16:38:06 | OPTIONS | meus-planos-api/itens/5
2026-04-10 16:38:06 | PUT | meus-planos-api/itens/5
2026-04-10 16:38:54 | GET | meus-planos-api/categorias
2026-04-10 16:39:40 | OPTIONS | meus-planos-api/itens/6
2026-04-10 16:39:40 | PUT | meus-planos-api/itens/6
2026-04-10 16:40:56 | GET | meus-planos-api/itens
2026-04-10 16:40:56 | GET | meus-planos-api/categorias
2026-04-10 16:41:04 | OPTIONS | meus-planos-api/itens/6
2026-04-10 16:41:04 | PUT | meus-planos-api/itens/6
2026-04-10 16:41:27 | OPTIONS | meus-planos-api/itens/6
2026-04-10 16:41:27 | PUT | meus-planos-api/itens/6
2026-04-10 16:41:54 | GET | meus-planos-api/categorias
2026-04-10 16:42:01 | OPTIONS | meus-planos-api/categorias
2026-04-10 16:42:01 | POST | meus-planos-api/categorias
2026-04-10 16:42:01 | GET | meus-planos-api/categorias
2026-04-10 16:42:02 | OPTIONS | meus-planos-api/categorias/4
2026-04-10 16:42:02 | DELETE | meus-planos-api/categorias/4
2026-04-10 16:42:02 | GET | meus-planos-api/categorias
2026-04-10 16:42:24 | GET | meus-planos-api/itens
2026-04-10 16:42:24 | GET | meus-planos-api/categorias
2026-04-10 16:43:00 | OPTIONS | meus-planos-api/itens
2026-04-10 16:43:00 | POST | meus-planos-api/itens
2026-04-10 16:43:00 | GET | meus-planos-api/itens
2026-04-10 16:43:01 | OPTIONS | meus-planos-api/itens/7
2026-04-10 16:43:01 | DELETE | meus-planos-api/itens/7
2026-04-10 16:43:01 | GET | meus-planos-api/itens
2026-04-10 16:43:41 | OPTIONS | meus-planos-api/itens
2026-04-10 16:43:41 | POST | meus-planos-api/itens
2026-04-10 16:43:41 | GET | meus-planos-api/itens
2026-04-10 16:43:43 | OPTIONS | meus-planos-api/itens/8
2026-04-10 16:43:43 | DELETE | meus-planos-api/itens/8
2026-04-10 16:43:43 | GET | meus-planos-api/itens
2026-04-10 16:44:55 | GET | meus-planos-api/itens
2026-04-10 16:44:55 | GET | meus-planos-api/categorias
2026-04-10 16:44:57 | GET | meus-planos-api/categorias
2026-04-10 16:45:02 | OPTIONS | meus-planos-api/categorias
2026-04-10 16:45:02 | POST | meus-planos-api/categorias
2026-04-10 16:45:02 | GET | meus-planos-api/categorias
2026-04-10 16:45:04 | OPTIONS | meus-planos-api/categorias/5
2026-04-10 16:45:04 | DELETE | meus-planos-api/categorias/5
2026-04-10 16:45:04 | GET | meus-planos-api/categorias
2026-04-10 16:45:16 | GET | meus-planos-api/categorias
2026-04-10 16:45:18 | GET | meus-planos-api/categorias
2026-04-10 16:45:30 | GET | meus-planos-api/categorias
2026-04-10 16:45:31 | GET | meus-planos-api/categorias
2026-04-10 16:45:31 | GET | meus-planos-api/itens
2026-04-10 16:45:31 | GET | meus-planos-api/categorias
2026-04-10 16:45:31 | GET | meus-planos-api/categorias
2026-04-10 16:46:00 | GET | meus-planos-api/categorias
2026-04-10 16:46:03 | GET | meus-planos-api/categorias
2026-04-10 16:46:03 | GET | meus-planos-api/itens
2026-04-10 16:46:03 | GET | meus-planos-api/categorias
2026-04-10 16:46:04 | GET | meus-planos-api/itens
rias
2026-04-10 16:46:19 | GET | meus-planos-api/categorias
2026-04-10 16:46:28 | GET | meus-planos-api/categorias
2026-04-10 16:46:52 | GET | meus-planos-api/categorias
2026-04-10 16:49:01 | GET | meus-planos-api/categorias
2026-04-10 16:49:02 | GET | meus-planos-api/categorias
2026-04-10 16:49:40 | GET | meus-planos-api/itens
2026-04-10 16:49:40 | GET | meus-planos-api/categorias
2026-04-10 16:49:43 | GET | meus-planos-api/categorias
2026-04-10 16:49:43 | GET | meus-planos-api/itens
rias
2026-04-10 16:52:13 | OPTIONS | meus-planos-api/itens/6
2026-04-10 16:52:13 | PUT | meus-planos-api/itens/6
2026-04-10 16:52:14 | PUT | meus-planos-api/itens/6
2026-04-10 16:52:15 | PUT | meus-planos-api/itens/6
2026-04-10 16:52:30 | OPTIONS | meus-planos-api/itens/6
2026-04-10 16:52:30 | PUT | meus-planos-api/itens/6
2026-04-10 16:52:30 | PUT | meus-planos-api/itens/6
