07-04-2026 12:45:45 | POST | Cafeteria-api/produtos
07-04-2026 12:45:47 | GET | cafeteria-api/produtos
07-04-2026 12:45:49 | OPTIONS | cafeteria-api/produtos/7
07-04-2026 12:45:49 | DELETE | cafeteria-api/produtos/7
07-04-2026 12:45:49 | GET | cafeteria-api/produtos
07-04-2026 12:47:57 | GET | cafeteria-api/produtos
07-04-2026 12:47:57 | GET | cafeteria-api/produtos
07-04-2026 12:48:07 | GET | cafeteria-api/produtos
07-04-2026 12:48:09 | GET | cafeteria-api/produtos
07-04-2026 12:48:12 | GET | cafeteria-api/produtos
07-04-2026 12:48:13 | GET | cafeteria-api/produtos
07-04-2026 12:50:03 | GET | cafeteria-api/produtos
07-04-2026 12:50:05 | GET | cafeteria-api/produtos
07-04-2026 12:50:44 | GET | cafeteria-api/produtos
07-04-2026 12:50:46 | GET | cafeteria-api/produtos
07-04-2026 12:52:28 | GET | cafeteria-api/produtos
07-04-2026 12:52:31 | GET | cafeteria-api/produtos
07-04-2026 12:53:00 | GET | cafeteria-api/produtos
07-04-2026 12:53:40 | GET | cafeteria-api/produtos
07-04-2026 12:53:52 | GET | cafeteria-api/produtos
07-04-2026 12:53:55 | GET | cafeteria-api/produtos
07-04-2026 12:54:20 | GET | cafeteria-api/produtos
07-04-2026 12:54:26 | POST | cafeteria-api/produtos
07-04-2026 12:55:19 | GET | cafeteria-api/produtos
07-04-2026 12:55:23 | POST | cafeteria-api/produtos
07-04-2026 12:57:59 | GET | cafeteria-api/produtos
07-04-2026 12:58:05 | POST | cafeteria-api/produtos
07-04-2026 12:58:13 | GET | cafeteria-api/produtos
07-04-2026 12:59:24 | GET | cafeteria-api/produtos
07-04-2026 12:59:27 | GET | cafeteria-api/produtos
07-04-2026 12:59:30 | POST | cafeteria-api/produtos
07-04-2026 13:01:25 | GET | cafeteria-api/produtos
07-04-2026 13:01:37 | GET | cafeteria-api/produtos
07-04-2026 13:08:07 | GET | cafeteria-api/produtos
07-04-2026 13:08:51 | POST | cafeteria-api/produtos
07-04-2026 13:08:52 | GET | cafeteria-api/produtos
07-04-2026 13:08:54 | GET | cafeteria-api/produtos
07-04-2026 13:09:15 | POST | cafeteria-api/produtos
07-04-2026 13:09:15 | GET | cafeteria-api/produtos
07-04-2026 13:09:19 | GET | cafeteria-api/produtos
07-04-2026 13:10:22 | POST | cafeteria-api/produtos
07-04-2026 13:10:22 | GET | cafeteria-api/produtos
07-04-2026 13:11:55 | POST | cafeteria-api/produtos
07-04-2026 13:11:55 | GET | cafeteria-api/produtos
07-04-2026 13:12:17 | OPTIONS | cafeteria-api/produtos/15
07-04-2026 13:12:17 | DELETE | cafeteria-api/produtos/15
07-04-2026 13:12:17 | GET | cafeteria-api/produtos
07-04-2026 13:12:18 | GET | cafeteria-api/produtos
07-04-2026 13:13:13 | GET | cafeteria-api/categorias
07-04-2026 13:13:19 | POST | cafeteria-api/categorias
07-04-2026 13:13:19 | GET | cafeteria-api/categorias
07-04-2026 13:13:24 | GET | cafeteria-api/produtos
07-04-2026 13:13:38 | POST | cafeteria-api/produtos
07-04-2026 13:13:38 | GET | cafeteria-api/produtos
07-04-2026 13:13:48 | POST | cafeteria-api/produtos
07-04-2026 13:13:48 | GET | cafeteria-api/produtos
07-04-2026 13:14:12 | GET | cafeteria-api/categorias
07-04-2026 13:14:13 | OPTIONS | cafeteria-api/categorias/15
07-04-2026 13:14:13 | DELETE | cafeteria-api/categorias/15
